template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-08,2025-01-08T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02778430000762455,36631.209939342676,439,512,73
2025-01-08,2025-01-08T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01596290001180023,13302.781887084999,223,260,37
2025-01-08,2025-01-09T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002531000063754618,263.4514866666666,7,8,1
2025-01-09,2025-01-09T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013399900024523959,65824.71344211372,577,865,144
2025-01-09,2025-01-09T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02786579998792149,51353.14960018717,655,764,109
2025-01-09,2025-01-09T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009971399995265529,37383.52590247464,439,512,73
2025-01-09,2025-01-09T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008388500020373613,14362.961551983,223,260,37
2025-01-09,2025-01-10T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002406999992672354,208.035952,7,8,1
2025-01-10,2025-01-10T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022253000002820045,33268.624394835395,577,865,144
2025-01-10,2025-01-10T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012884600000688806,20284.756901656063,655,764,109
2025-01-10,2025-01-10T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04642779999994673,15837.611799241837,439,512,73
2025-01-10,2025-01-10T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01490049998392351,5507.290417221667,223,260,37
2025-01-10,2025-01-11T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00025889999233186245,196.94828399999994,7,8,1
2025-01-11,2025-01-11T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02116640002350323,29470.094320419383,577,865,144
2025-01-11,2025-01-11T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02470549999270588,18156.62297289812,655,764,109
2025-01-11,2025-01-11T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0453605999937281,14431.285031722153,439,512,73
2025-01-11,2025-01-11T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007972299994435161,6044.9340023233335,223,260,37
2025-01-11,2025-01-12T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023449998116120696,294.52688906666674,7,8,1
2025-01-12,2025-01-12T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013078799995128065,66943.8635601991,577,865,144
2025-01-12,2025-01-12T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.050892300001578405,54944.65249852922,655,764,109
2025-01-12,2025-01-12T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03526499998406507,37304.23722660138,439,512,73
2025-01-12,2025-01-12T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008500900003127754,14067.645869184997,223,260,37
2025-01-12,2025-01-13T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002204999909736216,288.46024280000006,7,8,1
2025-01-13,2025-01-13T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014241500000935048,66308.491883215,577,865,144
2025-01-13,2025-01-13T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,1.4249393473178242e-16,0.048829800012754276,51061.52502476,655,764,109
2025-01-13,2025-01-13T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.059943300002487376,36390.91802072527,439,512,73
2025-01-13,2025-01-13T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008209799998439848,13993.360705318331,223,260,37
2025-01-13,2025-01-14T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002581999870017171,265.6218417333334,7,8,1
2025-01-14,2025-01-14T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013764700008323416,64821.03824081083,577,865,144
2025-01-14,2025-01-14T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03351959999417886,49960.61036570575,655,764,109
2025-01-14,2025-01-14T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02151150000281632,35495.93722968252,439,512,73
2025-01-14,2025-01-14T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008812299987766892,13773.425173370331,223,260,37
2025-01-14,2025-01-15T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002714000002015382,272.9899598666667,7,8,1
2025-01-15,2025-01-15T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012908800010336563,61962.05853452978,577,865,144
2025-01-15,2025-01-15T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02967079999507405,51868.91795487109,655,764,109
2025-01-15,2025-01-15T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01339080001343973,35880.61877536519,439,512,73
2025-01-15,2025-01-15T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008730000001378357,13705.43615434533,223,260,37
2025-01-15,2025-01-16T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002392000169493258,272.1324793333333,7,8,1
2025-01-16,2025-01-16T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01774219999788329,61958.9051340334,577,865,144
2025-01-16,2025-01-16T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04389239998999983,50089.23033954275,655,764,109
2025-01-16,2025-01-16T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.019107200001599267,33895.88155731804,439,512,73
2025-01-16,2025-01-16T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0147714999911841,13831.260087623,223,260,37
2025-01-16,2025-01-17T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002442999975755811,203.0943213333333,7,8,1
2025-01-17,2025-01-17T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023486799997044727,28188.05476042587,577,865,144
