template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-11,2025-01-11T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-11,2025-01-11T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03370699999504723,1941.9236941049387
2025-01-11,2025-01-11T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.023087499983375892,586.1844576481906
2025-01-11,2025-01-11T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.018421799992211163,0.0
2025-01-11,2025-01-12T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00025240000104531646,0.0
2025-01-12,2025-01-12T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-12,2025-01-12T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.031028600002173334,3200.9471603442025
2025-01-12,2025-01-12T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.02983639997546561,2.7704575800009446
2025-01-12,2025-01-12T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.015166400000452995,0.0
2025-01-12,2025-01-13T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002992999798152596,0.0
2025-01-13,2025-01-13T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-13,2025-01-13T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.031008899997686967,184.87394180082768
2025-01-13,2025-01-13T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.029204199992818758,0.0
2025-01-13,2025-01-13T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011426000011852011,0.0
2025-01-13,2025-01-14T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0004493999877013266,0.0
2025-01-14,2025-01-14T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-14,2025-01-14T06:00:00,update_0600,36,109,OPTIMAL,Optimal,4.51175460395648e-15,0.021704599988879636,491.3594665870034
2025-01-14,2025-01-14T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.042281200003344566,11.167353622097448
