template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02-14,0,29491.723565930668,27528.47433211733,1963.249233813336,43985.85347666666,590.6405633333344,14774.692539999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-15,0,29769.35917852,27778.076555631666,1991.2826228883355,44103.84009333333,627.5514466666673,15451.300139999998,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-16,0,70448.122996085,66992.063412625,3456.0595834600163,79020.94155999998,749.6799066666704,4393.24266666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-17,0,68482.292007643,66881.23623903966,1601.0557686033403,79613.43678333332,376.7798000000017,8806.354083333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-18,0,66694.86778475733,63433.551846794,3261.3159379633353,76100.17185666665,671.3332333333342,4680.117189999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-19,0,69577.20327657067,64420.85593820733,5156.347338363341,76640.39607333332,1242.9957066666686,5004.063779999993,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-20,0,68254.425841948,65346.04296767633,2908.3828742716723,77523.57962333332,623.4252133333348,7153.870436666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-21,0,28036.632433845334,26905.231609571998,1131.4008242733362,43250.59576333333,419.386890000001,18109.72005333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-22,0,28789.794097324335,27285.917373064334,1503.8767242600015,43231.83347666667,484.5906800000004,15871.661256666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-23,0,66561.23714088567,65219.60395487899,1341.6331860066732,77860.06413666665,370.79720666666833,6699.008043333324,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-24,0,65508.65792028201,63115.68853830866,2392.9693819733448,75783.94506333333,515.1960900000025,8096.1078533333275,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-25,0,63009.931871657,61367.44674073533,1642.4851309216706,74273.33088333331,424.3088800000012,8876.31486333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-26,0,64363.83715952766,60695.24954230933,3668.587617218336,73513.86298333333,808.5993066666678,5507.613789999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-27,0,67052.49209622768,61031.40994280933,6021.082153418343,74164.04543,1104.0298700000021,8311.491099999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-28,0,27147.383506905662,25932.823156120663,1214.5603507849996,42429.55329333333,358.56865000000005,19495.527743333332,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-01,0,27390.384133692,25828.078004833667,1562.3061288583338,42388.93794666667,415.1185133333334,19145.290259999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-02,0,74020.68474161334,64321.862264015,9698.822477598338,77676.34093,1921.6586066666678,7239.692436666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-03,0,69473.54317351335,65818.78747312333,3654.7557003900074,79466.46876666666,799.7908466666684,8249.112313333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-04,0,66583.96467633634,65895.672263068,688.2924132683376,79798.31586999999,258.8844966666676,10857.741966666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-05,0,63774.754428162654,63006.55551179432,768.1989163683346,77009.15391666665,163.341236666667,11042.023853333321,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-06,0,62856.76596621333,60699.52022679999,2157.245739413339,74141.37419333332,579.6006466666684,8780.320639999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-07,0,25556.783090198333,25201.47751541,355.305574788334,41577.116423333326,141.46613000000028,20796.29735333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-08,0,25469.724189412336,24428.074240942333,1041.6499484700025,40273.81102666666,389.6061466666676,21600.277673333334,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-09,0,58974.784587794005,57187.71969316067,1787.0648946333363,70857.16615,430.0018166666675,7953.6432666666615,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-10,0,62188.778836504,57848.583152823994,4340.195683680008,70901.21505999999,973.6249666666686,3832.7682266666616,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-11,0,60576.53892010267,58929.008814226,1647.5301058766722,72822.54572333333,413.4406166666681,9297.068239999997,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-12,0,58331.53939032334,56930.824169998334,1400.7152203250064,70635.59284,418.3203700000021,8618.378909999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-13,0,66589.17698518501,55855.42928151333,10733.747703671674,69571.15737333332,2120.0149100000017,4145.554483333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-14,0,24903.448500254664,23423.299574656332,1480.1489255983342,39040.279546666665,456.4890666666671,23467.34301333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-15,0,25257.869414907334,23846.555144743998,1411.314270163335,39640.86842333333,420.97472333333405,19137.71804666667,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-16,0,60432.27679706867,57709.589094965326,2722.6877021033424,71463.22019333333,631.8724000000025,8744.04569333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-17,0,56418.48287188967,55431.86524806133,986.6176238283397,70127.37534666665,220.5265466666679,12489.770593333327,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-18,0,63129.03377908667,52815.20237611,10313.831402976672,66728.01593666666,2018.747810000002,7620.805946666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-19,0,56675.14298007034,55804.592233422,870.5507466483367,69957.09577333332,195.0265800000009,10686.651453333327,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-20,0,58439.177692205674,55411.430314664,3027.7473775416743,69117.99745333333,753.2039033333353,7662.239156666661,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-21,0,24574.739062571334,23195.429107434666,1379.3099551366686,38926.466329999996,541.9317566666673,27434.933886666662,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-22,0,24022.094296065334,23301.804448306997,720.2898477583351,39128.38372666667,282.23558333333386,23529.41981,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-23,0,56562.964939384336,54932.009969246,1630.9549701383366,69460.31067333333,399.3270633333344,11089.91723666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-24,0,57833.864284573676,53347.14677144699,4486.717513126682,67062.43254333333,1136.9374866666703,10200.872729999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-25,0,57971.03739870301,53665.21569397633,4305.82170472668,67693.84833666666,1050.91354666667,7794.637183333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-26,0,55597.48767202734,53999.940404267334,1597.5472677600053,68249.20812333332,428.85085333333484,13085.504076666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-27,0,54865.86704866734,52226.580191287336,2639.2868573800097,66404.16243333332,708.4911800000025,8395.66401333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-28,0,24479.92407028333,23197.570456588328,1282.353613695002,38706.92614333333,426.17226000000073,28311.217503333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-29,0,23259.407975557668,22706.288513280997,553.1194622766706,38322.53152666666,177.20391333333444,30792.52534,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-30,0,54642.915074859666,50902.20663424633,3740.708440613336,65878.21712999999,860.5006100000011,11393.097739999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-03-31,0,53584.83863196433,51269.71338303599,2315.125248928344,65926.07308666666,572.3404633333355,9547.023549999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-01,0,54530.38183897667,52027.56945155166,2502.812387425007,66596.27364,631.3542400000019,7018.776879999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-02,0,60636.37546154568,51681.23612361233,8955.139337933344,66462.29583666666,1762.5509866666691,7789.511223333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-03,0,56955.231867980336,54166.876163190325,2788.3557047900103,67840.94437666665,749.2027033333358,12726.616879999994,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-04,0,23374.388402913337,22237.528779561668,1136.8596233516691,37784.93526333333,351.4475300000007,31705.580293333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-05,0,23263.078056594997,22200.81159804833,1062.2664585466678,37618.904633333324,324.7635800000004,25899.552313333334,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-06,0,54020.746119432006,52372.16280977867,1648.5833096533352,67172.29847666666,390.02577333333386,13152.247449999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-07,0,51288.092776866,50493.04431775433,795.0484591116704,65190.436796666654,286.66086666666797,12234.378263333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-08,0,57211.72003883866,50721.794902555324,6489.925136283338,65171.76957999999,1318.5293166666677,12137.105096666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-09,0,53964.03649798066,52059.462237787324,1904.5742601933407,66948.08172333334,519.2759100000017,8333.046033333325,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-10,0,54690.756131370006,52887.515038343336,1803.2410930266722,67458.81701,393.408206666668,13391.58731666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-11,0,23409.765581361335,21938.227323836334,1471.5382575250019,37339.40668666666,439.6039833333341,32462.36047,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-12,0,21862.42489114667,21399.303609081668,463.1212820650019,37003.34565999999,137.87436000000048,28116.059919999996,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-13,0,53164.031837341674,49135.907943823324,4028.1238935183483,63767.40337999999,855.7395400000032,10346.784619999995,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-14,0,51438.58243398366,49746.265026295325,1692.3174076883402,64690.084163333326,380.8300600000015,12542.881723333325,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-15,0,50789.520836357005,48697.52378082033,2091.9970555366726,63563.829993333326,529.4808500000015,13953.881343333325,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-16,0,52674.442788609,48874.96956525066,3799.473223358335,63770.993046666656,821.1805200000008,8812.580966666663,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-17,0,51053.73836362566,50287.04273242566,766.6956312000009,65156.95743666665,208.73192666666714,12497.346963333326,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-18,0,22315.798750825335,21539.108201733667,776.6905490916679,36962.10618333333,266.8512900000004,30874.84017333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-19,0,22232.676318271002,20969.823311082666,1262.8530071883351,36026.062600000005,426.924976666667,29668.308176666666,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-20,0,50936.235795383,49105.748412297995,1830.4873830850029,63862.19911999999,525.4777800000013,12429.931499999992,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-21,0,50611.84991639533,49611.38806668533,1000.4618497100043,64780.55073999999,322.58548666666786,16586.225426666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-22,0,50169.534742166,46846.65492282933,3322.8798193366706,61199.53527666666,966.4676366666682,10013.073713333328,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-23,0,49999.692404244,48350.01794921566,1649.6744550283372,63254.62987999999,381.90022333333434,12236.613303333326,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-24,0,48497.375518026,47644.40650331933,852.9690147066682,62082.63971666666,181.12757000000062,15173.660786666664,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-25,0,20756.218728291668,20136.493830041665,619.7248982500021,35115.00890666666,224.97602333333407,33339.62742999999,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-26,0,21912.151207845,20218.71917546833,1693.4320323766697,34906.87727333333,574.1818300000009,35410.86590333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-27,0,50535.05665801667,46529.48419375833,4005.572464258339,61499.76606333333,821.9612000000013,13748.25586333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-28,0,53372.046050700665,48808.94862301066,4563.097427690005,63846.97753999999,987.0625466666679,8212.072586666662,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-04-29,0,50834.954780514,49631.74069629733,1203.2140842166732,65458.471523333326,247.8716600000013,18273.12928333333,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
