template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-02-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0313892999838572
2025-02-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023591900011524558
2025-02-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023915800004033372
2025-02-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024900400021579117
2025-03-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07116859999950975
2025-03-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.045123100018827245
2025-03-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029115300014382228
2025-03-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024919399991631508
2025-03-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031241599994245917
2025-03-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.7014030210674553e-16,0.0317460999940522
2025-03-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02209350001066923
2025-03-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.059307799994712695
2025-03-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03668619997915812
2025-03-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024862099991878495
2025-03-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024650100007420406
2025-03-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023771800013491884
2025-03-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024326800019480288
2025-03-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024324300000444055
2025-03-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027982300001895055
2025-03-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03668299998389557
2025-03-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024915499991038814
2025-03-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03519860000233166
2025-03-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022687100019538775
2025-03-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024314299982506782
2025-03-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022242199978791177
2025-03-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032431600004201755
2025-03-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02563610000652261
2025-03-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03282230001059361
2025-03-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02582610002718866
2025-03-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022802599996794015
2025-03-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03505330000189133
2025-03-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03278079998563044
2025-03-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03638939998927526
2025-03-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024952099978690967
2025-03-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02601979998871684
2025-04-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030173800012562424
2025-04-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024502000014763325
2025-04-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02352630000677891
2025-04-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02415320000727661
2025-04-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.045444299990776926
2025-04-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.08596250001573935
2025-04-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0368933999852743
2025-04-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0371789000055287
2025-04-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02606579998973757
2025-04-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023435300012351945
2025-04-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0243190000182949
2025-04-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03150579999783076
2025-04-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07385079999221489
2025-04-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02855220000492409
2025-04-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03944569997838698
2025-04-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.054415600025095046
2025-04-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027395500015700236
2025-04-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02640649999375455
2025-04-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029884199990192428
2025-04-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02738010001485236
2025-04-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03594269999302924
2025-04-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03627740000956692
2025-04-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026233999989926815
2025-04-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.035529700020560995
2025-04-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.042656100005842745
2025-04-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024315199989359826
2025-04-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03201490000355989
2025-04-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.052696699975058436
2025-04-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02836520000710152
2025-04-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03666850001900457
2025-05-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03964730000006966
