period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-04,86129.8791341749,23664.547969341562,19168.283855166665,550.1134066666663,12538.467526666665,54232.25434019096,1620.5010045616655,55852.75534475262,1200.0,1200.0,586.1700000000001,2133.5999999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-05,83203.04282999999,0.0,0.0,448.6768933333337,12502.40172333333,65451.67567097866,1654.4214885666677,67106.09715954533,6000.0,6000.0,890.5899999999997,1273.7297999999992
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-05,87631.28069251028,23306.515065843618,18878.277203333335,448.6768933333336,12502.40172333333,54692.45920971518,1654.4214885666674,56346.88069828185,1200.0,1200.0,890.5899999999997,1273.7297999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-06,84994.95829000001,0.0,0.0,0.0,54139.96208999999,67251.33919592267,0.0,67251.33919592267,6000.0,6000.0,3690.3796999999995,1318.5374999999995
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-06,89629.03935333333,24389.90033333333,19755.81927,0.0,54139.96208999999,56299.895239737,0.0,56299.895239737,1200.0,1200.0,3690.3796999999995,1318.5374999999995
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-07,49698.65116666666,0.0,0.0,77.77904666666691,18649.91681333333,37442.609770776,275.04703500833466,37717.65680578433,6000.0,6000.0,865.2599999999998,1014.9552999999996
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-07,47410.834450164606,14698.090053497941,11905.452943333332,153.39074333333352,13645.074683333332,27265.551774831405,652.7205176000009,27918.272292431408,1200.0,1200.0,865.2599999999998,1014.9552999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-08,47959.036126666666,0.0,0.0,20871.764123333334,3645.8769500000008,36169.67420773367,88629.33134598169,124799.00555371535,6000.0,6000.0,3800.3857999999996,2390.7375
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06-08,47098.06614888889,14744.041888888889,11942.673929999997,22072.900980000002,1184.6758700000007,26480.165999851335,93525.60809906834,120005.77409891968,1200.0,1200.0,3800.3857999999996,2390.7375
formal_output,B0_NO_STORAGE_REFERENCE,2025-06-09,78381.28269,0.0,0.0,1325.5188666666677,8774.089156666665,61660.10439501233,6352.963054928337,68013.06744994066,6000.0,6000.0,638.1099999999997,1553.0273000000007
