template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-19,2025-01-19T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.028022200014675036,61173.38810065503,577,865,144
2025-01-19,2025-01-20T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002691000117920339,251.901298,7,8,1
2025-01-20,2025-01-20T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.026860600017243996,62108.27428346707,577,865,144
2025-01-20,2025-01-21T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0003259000077378005,264.36868866666657,7,8,1
2025-01-21,2025-01-21T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01452549998066388,62030.45321855677,577,865,144
2025-01-21,2025-01-22T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002432999899610877,272.66940239999997,7,8,1
2025-01-22,2025-01-22T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016233200003625825,64295.742963035525,577,865,144
2025-01-22,2025-01-23T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002612000098451972,255.22289479999995,7,8,1
2025-01-23,2025-01-23T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027486299979500473,62203.32099491145,577,865,144
2025-01-23,2025-01-24T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028959999326616526,200.69776586666663,7,8,1
2025-01-24,2025-01-24T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.034750099992379546,24971.720589878925,577,865,144
2025-01-24,2025-01-25T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002905000001192093,199.7110076,7,8,1
2025-01-25,2025-01-25T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03224020000197925,24728.029922817997,577,865,144
2025-01-25,2025-01-26T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024330001906491816,282.9999333333333,7,8,1
2025-01-26,2025-01-26T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012859700014814734,65930.34423743785,577,865,144
2025-01-26,2025-01-27T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024059999850578606,270.9393328,7,8,1
2025-01-27,2025-01-27T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.026979700021911412,58888.00509980493,577,865,144
2025-01-27,2025-01-28T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002772999869193882,274.8453162666666,7,8,1
2025-01-28,2025-01-28T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014400899992324412,62144.34172785278,577,865,144
2025-01-28,2025-01-29T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024679998750798404,261.8233283999999,7,8,1
2025-01-29,2025-01-29T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025555200001690537,57244.4256900089,577,865,144
2025-01-29,2025-01-30T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00027329998556524515,264.8562951999999,7,8,1
2025-01-30,2025-01-30T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02154690001043491,57850.089725831036,577,865,144
2025-01-30,2025-01-31T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002812999882735312,201.25706666666662,7,8,1
2025-01-31,2025-01-31T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03752189999795519,23848.41889733791,577,865,144
2025-01-31,2025-02-01T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028730000485666096,203.9721841333333,7,8,1
2025-02-01,2025-02-01T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023343400011071935,25433.093281461002,577,865,144
2025-02-01,2025-02-02T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002882999833673239,255.45436893333337,7,8,1
2025-02-02,2025-02-02T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014192500006174669,60044.62798067755,577,865,144
2025-02-02,2025-02-03T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002762000076472759,275.54087893333326,7,8,1
2025-02-03,2025-02-03T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,2.3997124530332974e-16,0.026180599990766495,60640.24550096768,577,865,144
2025-02-03,2025-02-04T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002796000044327229,255.12896533333333,7,8,1
2025-02-04,2025-02-04T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025668399990536273,63158.734217856676,577,865,144
2025-02-04,2025-02-05T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002717000024858862,263.5468414666666,7,8,1
2025-02-05,2025-02-05T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013760300003923476,58531.40630530695,577,865,144
2025-02-05,2025-02-06T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00041229999624192715,261.87706346666664,7,8,1
2025-02-06,2025-02-06T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01368570001795888,63309.18720485919,577,865,144
2025-02-06,2025-02-07T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00025209999876096845,203.74983213333329,7,8,1
2025-02-07,2025-02-07T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.021388200024375692,25071.267187851667,577,865,144
2025-02-07,2025-02-08T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00026369999977760017,187.99277213333335,7,8,1
2025-02-08,2025-02-08T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022976999985985458,19386.499818365,577,865,144
2025-02-08,2025-02-09T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002579999854788184,255.0675334666666,7,8,1
2025-02-09,2025-02-09T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012055500003043562,56665.41029217531,577,865,144
2025-02-09,2025-02-10T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002654000127222389,259.5801388,7,8,1
2025-02-10,2025-02-10T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02086410002084449,54628.88401606759,577,865,144
2025-02-10,2025-02-11T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002598999999463558,259.93362146666664,7,8,1
2025-02-11,2025-02-11T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,1.3257824496008304e-16,0.027179099997738376,54880.47919456234,577,865,144
2025-02-11,2025-02-12T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0003711000026669353,243.1709888,7,8,1
2025-02-12,2025-02-12T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027020699984859675,54862.55477179676,577,865,144
2025-02-12,2025-02-13T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002730000123847276,243.80526213333326,7,8,1
2025-02-13,2025-02-13T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012922199995955452,51085.614913834,577,865,144
2025-02-13,2025-02-14T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002514999941922724,180.8646801333333,7,8,1
2025-02-14,2025-02-14T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03225499999825843,19171.594506202367,577,865,144
