period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
formal_output,B1_WEEKDAY_MILP_R0,2025-09-18,63835.43508333333,21333.33333333333,17280.0,1987.7556166666686,2813.806366666665,39549.59156506666,7714.756111608341,47264.347676674995,1200.0,1200.0,482.10239999999976,1209.5625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-19,39445.642933333336,0.0,0.0,1521.4973666666676,24865.7879,29541.240361863333,5666.120047458338,35207.36040932167,6000.0,6000.0,503.52530000000024,1454.0080000000007
formal_output,B1_WEEKDAY_MILP_R0,2025-09-19,31503.268603497938,14338.380720164607,11614.088383333334,1986.027583333334,14663.651450000001,17182.303671997302,7448.589076691669,24630.892748688973,1200.0,1200.0,503.52530000000024,1454.0080000000007
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-20,39607.92065,0.0,0.0,1536.188200000001,25498.67515,29745.61085126833,6105.380820725005,35850.99167199334,6000.0,6000.0,542.6432999999997,1047.5625
formal_output,B1_WEEKDAY_MILP_R0,2025-09-20,31670.616689094648,14365.066872427982,11635.704166666666,2216.6348166666676,15512.4551,17398.361265238993,9030.054400608336,26428.41566584733,1200.0,1200.0,542.6432999999997,1047.5625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-21,69170.8608,0.0,0.0,952.3795500000016,11835.75255,55100.718808804995,3900.364499791673,59001.083308596666,6000.0,6000.0,529.1514000000002,1587.6000000000004
formal_output,B1_WEEKDAY_MILP_R0,2025-09-21,65626.8444127572,21444.434979423866,17369.992333333335,2418.9774000000016,5683.891366666664,40997.37752207975,7829.2151256500065,48826.592647729754,1200.0,1200.0,529.1514000000002,1587.6000000000004
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-22,65613.16713333334,0.0,0.0,3155.5512666666677,8154.698299999998,51929.67269073667,12681.934012108333,64611.606702845005,6000.0,6000.0,473.97999999999956,884.625
formal_output,B1_WEEKDAY_MILP_R0,2025-09-22,62147.39221337448,20853.46226337448,16891.30443333333,3877.7434333333345,1448.9577166666656,38475.141124748516,15667.092847241669,54142.23397199019,1200.0,1200.0,473.97999999999956,884.625
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-23,68354.53644999999,0.0,0.0,1994.1523000000022,8232.072449999998,54064.48204513,8836.803857125007,62901.285902255004,6000.0,6000.0,775.6999999999998,920.3952999999992
formal_output,B1_WEEKDAY_MILP_R0,2025-09-23,65308.3379919753,21415.80197530864,17346.7996,3361.8393166666688,2484.5586333333313,40553.085120416785,15047.703219016676,55600.788339433464,1200.0,1200.0,775.6999999999998,920.3952999999992
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-24,68366.79668333332,0.0,0.0,1792.3352666666688,9095.906749999998,54188.56673495666,7672.991461466674,61861.55819642333,6000.0,6000.0,559.9300000000003,1128.4200999999994
formal_output,B1_WEEKDAY_MILP_R0,2025-09-24,66003.2581765432,21811.204876543205,17667.07595,2844.397716666668,3640.3017666666656,40833.027763428516,10169.470067991671,51002.49783142019,1200.0,1200.0,559.9300000000003,1128.4200999999994
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-25,68019.45301666667,0.0,0.0,2188.6906166666686,9872.694833333331,54383.08270811333,8118.550068850007,62501.632776963335,6000.0,6000.0,750.4299999999998,774.0568999999996
formal_output,B1_WEEKDAY_MILP_R0,2025-09-25,64906.481383333325,21333.333333333332,17280.0,2516.9558000000015,3034.6550499999967,40558.62880459166,9486.890344158339,50045.51914875,1200.0,1200.0,750.4299999999998,774.0568999999996
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-26,40418.93128333333,0.0,0.0,759.788366666667,23484.476150000002,30382.832594318334,2622.883602225001,33005.71619654333,6000.0,6000.0,587.7778000000003,1796.0487000000003
formal_output,B1_WEEKDAY_MILP_R0,2025-09-26,32594.080319753084,14956.924753086418,12115.10905,1491.026000000003,13549.047116666672,17885.129889328517,5709.848842900004,23594.97873222852,1200.0,1200.0,587.7778000000003,1796.0487000000003
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-27,40128.16646666666,0.0,0.0,2209.2598833333345,24536.12345,30236.531903536667,8444.433952550004,38680.96585608667,6000.0,6000.0,679.2244000000001,1881.0007000000005
formal_output,B1_WEEKDAY_MILP_R0,2025-09-27,32281.649662345677,14842.894012345681,12022.744149999999,3820.5667333333345,15480.763633333328,17749.89966743074,14840.009401300003,32589.90906873074,1200.0,1200.0,679.2244000000001,1881.0007000000005
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-28,68915.03958333333,0.0,0.0,2309.1409333333363,7736.551716666665,54801.96950253999,9756.102022366676,64558.07152490667,6000.0,6000.0,559.1233000000002,1259.8874999999998
formal_output,B1_WEEKDAY_MILP_R0,2025-09-28,66898.56175884773,22003.93829218107,17823.190016666667,3880.079283333336,3110.263966666665,41668.3855586795,16872.22601578334,58540.61157446285,1200.0,1200.0,559.1233000000002,1259.8874999999998
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-29,69382.85676666666,0.0,0.0,1490.891483333336,8113.856349999998,55207.689706134996,5984.571383458346,61192.26108959334,6000.0,6000.0,528.69,666.3000000000002
formal_output,B1_WEEKDAY_MILP_R0,2025-09-29,68411.79211049381,21556.53049382716,17460.7897,1626.7269666666693,3182.8863833333307,42356.73239467926,6344.591183791677,48701.32357847094,1200.0,1200.0,528.69,666.3000000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-09-30,68998.81743333333,0.0,0.0,3072.703133333336,6649.345466666664,55199.01240488333,12220.489045866676,67419.50145075,6000.0,6000.0,537.4799999999996,996.4754000000003
formal_output,B1_WEEKDAY_MILP_R0,2025-09-30,66903.09962962962,21433.376296296294,17361.0348,4304.9212000000025,1713.5042333333308,41883.70710959889,17395.56734693334,59279.27445653223,1200.0,1200.0,537.4799999999996,996.4754000000003
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-01,70815.05601666667,0.0,0.0,212.30291666666753,21365.83713333333,56376.28794239999,547.5695290250023,56923.85747142499,6000.0,6000.0,799.8512000000001,2238.2599999999993
formal_output,B1_WEEKDAY_MILP_R0,2025-10-01,69686.13744130658,21927.496445473247,17761.27212083333,212.30291666666753,16070.694233333332,43357.544356206505,547.5695290250023,43905.113885231505,1200.0,1200.0,799.8512000000001,2238.2599999999993
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-02,66432.50786666665,0.0,0.0,1167.2330333333343,15868.957699999997,52530.199913159995,4802.923632833339,57333.12354599334,6000.0,6000.0,860.3499999999995,1340.371
formal_output,B1_WEEKDAY_MILP_R0,2025-10-02,59829.28782674897,21386.56119341564,17323.114566666667,2734.536500000001,6769.594499999996,37658.74092861098,8941.489827308336,46600.23075591932,1200.0,1200.0,860.3499999999995,1340.371
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-03,39116.691999999995,0.0,0.0,471.1285500000002,31770.665949999995,29331.38331744,1296.589694416667,30627.973011856666,6000.0,6000.0,891.0800000000002,946.2147999999997
formal_output,B1_WEEKDAY_MILP_R0,2025-10-03,31270.38885576131,14844.018539094646,12023.655016666668,2027.84245,22660.713183333333,16855.609589549564,8344.154550191666,25199.76413974123,1200.0,1200.0,891.0800000000002,946.2147999999997
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-04,40627.0291,0.0,0.0,674.8198333333335,28205.86733333333,30593.62777598,2322.983192158334,32916.61096813833,6000.0,6000.0,788.8300000000004,1101.3009000000002
formal_output,B1_WEEKDAY_MILP_R0,2025-10-04,32833.2961526749,15120.70378600823,12247.770066666666,1821.0362499999994,18685.417083333334,18027.979759467715,6949.7074949166645,24977.68725438438,1200.0,1200.0,788.8300000000004,1101.3009000000002
formal_output,B0_NO_STORAGE_REFERENCE,2025-10-05,68524.05183333333,0.0,0.0,560.3867500000005,14348.47788333333,54383.87127610666,1567.3826711250017,55951.253947231664,6000.0,6000.0,788.4399999999996,956.4673000000003
formal_output,B1_WEEKDAY_MILP_R0,2025-10-05,65151.49403888888,21385.82555555555,17322.5187,652.7698333333334,7004.996316666665,40541.55838443666,2026.6036533250003,42568.162037761664,1200.0,1200.0,788.4399999999996,956.4673000000003
