run_id,question_id,model_id,baseline_id,split,period,metric,value,unit,direction,sample_count,status,notes
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,planned_grid_kwh,2425864.9343892997,kWh,descriptive,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,charge_kwh,714670.6515226337,kWh,descriptive,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,discharge_kwh,583203.2277333334,kWh,descriptive,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,emergency_kwh,330624.29468333337,kWh,min,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,surplus_kwh,291399.1620833333,kWh,min,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,planned_purchase_cost_yuan,1501202.5496449112,yuan,min,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,emergency_purchase_cost_yuan,1338870.3975598754,yuan,min,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,warmup,warmup,total_cost_yuan,2840072.947204787,yuan,min,31,HUMAN_RUN_UNREVIEWED,warmup excluded from formal total
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,overall:formal_output,load.MAE,651.6096450266134,kW,min,48096,POSTHOC_EVALUATION_ONLY,mean(abs(predicted-actual))
baseline,Q2,recent_completed_same_clock-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,overall:formal_output,load.RMSE,1129.2169618663152,kW,min,48096,POSTHOC_EVALUATION_ONLY,sqrt(mean((predicted-actual)^2))
