experiment,track,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan
recent_buffer,B0,2025-10,2065219.9508866668,0.0,0.0,100248.91797333333,690335.2756599999,1623038.160340247,435844.96971840656,2058883.1300586532,44047.14244231974,-169934.88632900128,0.0
recent_buffer,B0,2025-11,2096351.0634833332,0.0,0.0,154579.30579,462957.96197333327,1659839.2043560056,681787.2483736951,2341626.4527297006,63407.49772960585,-96816.60467048637,0.0
recent_buffer,B0,2025-12,2651610.5909699993,0.0,0.0,141524.01415666673,429097.6691266666,2094200.8135656295,612497.949871375,2706698.7634370043,86515.30691519057,-188393.1896490681,0.0
recent_buffer,B1,2025-02,2070061.127381459,639797.4406392594,518235.9269178,156877.78230000002,391497.71915999975,1261846.268967263,659924.8472486133,1921771.1162158763,260014.2541838988,90945.29200085008,214686.79711260746
recent_buffer,B1,2025-03,1944281.4178746182,642982.3440838683,520815.69870793336,179018.40423465025,474815.50933333323,1161114.3494144904,753313.9055822816,1914428.2549967722,252180.41945077621,118619.37770804027,208002.92749905412
recent_buffer,B1,2025-04,1771091.5718911472,591895.980076214,479435.74386173324,125039.01721333333,565940.74899,1038410.3866516533,526391.1105911715,1564801.497242825,271848.538055285,173103.1295221149,247761.49026644687
recent_buffer,B1,2025-05,1812933.081523942,578305.8318453087,468427.7237947,116660.43045333333,632904.9308266666,1080711.9976688193,483273.25175813335,1563985.2494269523,308813.280363221,186393.30048650436,259373.65993902338
recent_buffer,B1,2025-06,2215006.773752189,631564.1984150617,511567.0007162,175784.6469633395,520801.0511166665,1372053.6740848976,729927.2469241485,2101980.9210090465,279893.9708853324,174072.65360548827,197158.97757751553
recent_buffer,B1,2025-07,2508481.598548265,647050.5002195885,524110.90517786663,131203.1002867901,571925.8352933333,1583201.5065316418,554093.7411474593,2137295.247679101,325328.38286152424,167479.48856570595,248129.67665860918
recent_buffer,B1,2025-08,2204936.4623497343,607259.4813845678,491880.17992150015,143675.3025566667,649119.5934433334,1380194.3293437115,603385.1177961701,1983579.447139881,341708.68264285376,217221.61121375128,264289.09000161884
