experiment,track,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan,saving_vs_original_b1_pct,improved_months_vs_original_b1,worst_month_saving_vs_original_b1_yuan,improved_days_vs_original_b1,daily_cost_p95_yuan,start_soc_0010_kwh,end_soc_0010_next_day_kwh,formal_days
baseline,B0,20955676.289916664,0.0,0.0,1943634.6555000008,4960121.406316666,16371318.581934769,8196002.412395185,24567320.99432995,0.0,-1732047.4879044904,0.0,-7.584964933383094,0,-274908.4965642587,59,163947.34251940242,6000.0,6000.0,334
baseline,B1,20139038.43840445,6629838.796538477,5370169.425196166,2594662.078728395,3534841.6066905344,12217103.997935109,10618169.508490354,22835273.50642546,1732047.4879044904,0.0,1732047.4879044904,0.0,0,0.0,0,182148.2793429934,1200.0,1200.0,334
weekday,B0,21013913.076316666,0.0,0.0,736344.503683334,3811068.0408999994,16419368.358407615,2955248.874482803,19374617.232890416,5192703.761439538,3460656.2735350477,0.0,15.154871136364006,11,145636.00442248824,103,81076.56584208706,6000.0,6000.0,334
weekday,B1,20208551.64969034,6630250.612916459,5370502.996462334,1108167.9477679017,2117782.441904115,12268156.410999296,4282273.402063282,16550429.81306258,8016891.181267374,6284843.693362883,2824187.4198278356,27.52252427190958,11,357302.690553769,233,74312.4825952187,1200.0,1200.0,334
recent_buffer,B0,23380864.54656,0.0,0.0,1286402.3026233332,6728077.310083333,18309368.095097855,5601796.5235457765,23911164.61864363,656156.3756863213,-1075891.112218169,0.0,-4.711531534384433,0,-188393.1896490681,73,146679.4123729026,6000.0,6000.0,334
recent_buffer,B1,23420690.27327279,7045194.998217243,5706607.948555967,1617595.6091155207,5760509.293627037,14366133.306928437,6805719.305362295,21171852.612290736,3395468.3820392163,1663420.8941347266,2739312.0063528954,7.284436044379625,11,90945.29200085008,236,160864.14580923674,1200.0,1200.0,334
weekday_buffer,B0,22607282.99479,0.0,0.0,274647.2406733335,4942740.696363334,17690123.51827206,1097414.2449175925,18787537.763189655,5779783.2311403,4047735.7432358093,0.0,17.72580364363425,11,232045.0400601064,112,78013.55219103585,6000.0,6000.0,334
weekday_buffer,B1,22348654.590524,6882533.519892138,5574852.151112633,398679.2110733335,3500462.8937178273,13674923.27164581,1537123.4190650238,15212046.690710835,9355274.303619118,7623226.8157146275,3575491.072478819,33.38355817621183,11,551076.492415874,289,66512.4506075376,1200.0,1200.0,334
