template_date,decision_time,plan_version,start_slot,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-02-07,2025-02-08 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00030759998480789363,147.76513263333334,7,8,1
2025-02-08,2025-02-08 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03283969999756664,15665.145423033662,,,
2025-02-08,2025-02-08 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.044293500017374754,8329.592881619472,655,764,109
2025-02-08,2025-02-08 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05097179999575019,7851.642169407469,439,512,73
2025-02-08,2025-02-08 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009759500011568889,4071.3316418206664,223,260,37
2025-02-08,2025-02-09 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007644400000572205,0.0,7,8,1
2025-02-09,2025-02-09 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,1.15870222045099e-16,0.012741599988657981,62794.02495104806,,,
2025-02-09,2025-02-09 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04971809999551624,49515.43934736758,655,764,109
2025-02-09,2025-02-09 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023756699985824525,33459.84759906189,439,512,73
2025-02-09,2025-02-09 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015920799982268363,12724.534790972333,223,260,37
2025-02-09,2025-02-10 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.000321299972711131,264.13311129999994,7,8,1
2025-02-10,2025-02-10 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014869099977659062,60955.918898541335,,,
2025-02-10,2025-02-10 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02914630001760088,43409.102781692076,655,764,109
2025-02-10,2025-02-10 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,2.204286632745322e-16,0.012109700008295476,33008.21910407181,439,512,73
2025-02-10,2025-02-10 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015616699995007366,13020.161694753666,223,260,37
2025-02-10,2025-02-11 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002680000034160912,292.9420303666666,7,8,1
2025-02-11,2025-02-11 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02270100000896491,61103.86426435815,,,
2025-02-11,2025-02-11 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.06525420001707971,44687.51817348834,655,764,109
2025-02-11,2025-02-11 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023246900003869087,33247.17410434759,439,512,73
2025-02-11,2025-02-11 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009213499986799434,12896.512957786,223,260,37
2025-02-11,2025-02-12 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002773999876808375,204.72768000000002,7,8,1
2025-02-12,2025-02-12 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.027181999990716577,61532.77139410528,,,
2025-02-12,2025-02-12 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03702220000559464,44292.68810012782,655,764,109
2025-02-12,2025-02-12 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029961499996716157,32228.06677965188,439,512,73
2025-02-12,2025-02-12 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.020025899983011186,12515.925817268877,223,260,37
2025-02-12,2025-02-13 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0075570000044535846,0.0,7,8,1
2025-02-13,2025-02-13 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029786500002956018,56743.88250426706,,,
2025-02-13,2025-02-13 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025271299993619323,40246.42324525179,655,764,109
2025-02-13,2025-02-13 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02903499998501502,31339.60594978454,439,512,73
2025-02-13,2025-02-13 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015937999996822327,12445.405619165667,223,260,37
2025-02-13,2025-02-14 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002689999819267541,127.99263846666663,7,8,1
2025-02-14,2025-02-14 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03627219999907538,15713.6632187759,,,
2025-02-14,2025-02-14 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03988890000618994,7691.943480721279,655,764,109
2025-02-14,2025-02-14 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04880370001774281,7706.163496321279,439,512,73
2025-02-14,2025-02-14 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01591539999935776,3917.618655029335,223,260,37
2025-02-14,2025-02-15 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002764999808277935,131.50773059999995,7,8,1
2025-02-15,2025-02-15 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03571710002142936,16081.608497095867,,,
2025-02-15,2025-02-15 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.06254829998943023,7632.230371828608,655,764,109
2025-02-15,2025-02-15 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05046979998587631,7465.411913046528,439,512,73
2025-02-15,2025-02-15 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009262399980798364,3706.452803397,223,260,37
2025-02-15,2025-02-16 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007297899981494993,0.0,7,8,1
2025-02-16,2025-02-16 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.011433199979364872,61562.061256187706,,,
2025-02-16,2025-02-16 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04260039998916909,43914.16589676249,655,764,109
2025-02-16,2025-02-16 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02953890000935644,31360.37424497021,439,512,73
2025-02-16,2025-02-16 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.019588700000895187,12573.195459317549,223,260,37
2025-02-16,2025-02-17 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007534100004704669,0.0,7,8,1
2025-02-17,2025-02-17 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014024200005223975,59014.72712237066,,,
2025-02-17,2025-02-17 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0313124000094831,41688.163381436025,655,764,109
2025-02-17,2025-02-17 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.036911699979100376,30382.980556618644,439,512,73
2025-02-17,2025-02-17 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01647269999375567,12775.172913522,223,260,37
2025-02-17,2025-02-18 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008061600005021319,0.0,7,8,1
2025-02-18,2025-02-18 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02220800000941381,53054.9364913638,,,
2025-02-18,2025-02-18 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025999999983469024,39289.18263006188,655,764,109
2025-02-18,2025-02-18 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04640369999106042,29907.99757320337,439,512,73
2025-02-18,2025-02-18 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016569100000197068,12811.344098210666,223,260,37
2025-02-18,2025-02-19 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002708999963942915,213.5495964,7,8,1
2025-02-19,2025-02-19 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02285529999062419,52996.629675343385,,,
2025-02-19,2025-02-19 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02330870000878349,38252.36985391302,655,764,109
2025-02-19,2025-02-19 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02832079998916015,30165.911809353427,439,512,73
2025-02-19,2025-02-19 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008724700019229203,12843.981108206002,223,260,37
2025-02-19,2025-02-20 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028199999360367656,242.38711653333334,7,8,1
2025-02-20,2025-02-20 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015474700019694865,54119.259616911084,,,
2025-02-20,2025-02-20 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04037840000819415,39500.79551065349,655,764,109
2025-02-20,2025-02-20 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029338099993765354,28357.268106607713,439,512,73
2025-02-20,2025-02-20 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009483500005444512,12782.01604674269,223,260,37
2025-02-20,2025-02-21 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028649999876506627,127.94199489999997,7,8,1
2025-02-21,2025-02-21 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04826179999508895,14559.830502967858,,,
2025-02-21,2025-02-21 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.032775400002719834,6169.431051013191,655,764,109
2025-02-21,2025-02-21 12:00:00,update_1200,72,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03923999998369254,6274.344538256109,439,512,73
2025-02-21,2025-02-21 18:00:00,update_1800,108,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009976600005757064,3718.1211735623333,223,260,37
2025-02-21,2025-02-22 00:00:00,update_nextday_0000_slot144,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00028119998751208186,135.27353440000002,7,8,1
2025-02-22,2025-02-22 00:00:00,initial_0000,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03663129999767989,15348.036851266448,,,
2025-02-22,2025-02-22 06:00:00,update_0600,36,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05989199999021366,7533.797035317032,655,764,109
