hypothesis,issue_hour,period,month,n,MAE_kw,RMSE_kw,bias_kw
H0_hour_mean,0,ALL,01,743,314.00324692687303,538.9672374871117,2.279154239569304
H0_hour_mean,0,ALL,02,672,385.078604985119,639.7767260310424,-66.60507492559523
H0_hour_mean,0,ALL,03,744,462.9751700044803,741.8318467582778,-76.85391857078851
H0_hour_mean,0,ALL,04,720,449.2707951157407,697.5940693829147,-7.000978217592607
H0_hour_mean,0,ALL,05,744,467.61687414874547,691.6438686239921,13.883324283154115
H0_hour_mean,0,ALL,06,720,409.0101375231482,613.7637876447375,-31.13242030092593
H0_hour_mean,0,ALL,07,744,460.5932301971326,692.9437250817409,5.322196102150533
H0_hour_mean,0,ALL,08,744,558.2793950492832,857.4872317787217,-82.70563438620074
H0_hour_mean,0,ALL,09,720,512.1820440509259,809.0662829057138,0.16144682870369453
H0_hour_mean,0,ALL,10,744,488.27268613351265,798.1053052856423,-85.56521467293908
H0_hour_mean,0,ALL,11,720,373.2489502777778,625.9401918293319,2.525317592592604
H0_hour_mean,0,ALL,12,744,317.10089153225806,547.3344087659119,0.6444956541218544
H0_hour_mean,0,ALL,ALL,8759,433.5140402157781,695.1243158416461,-26.965542925372006
H0_hour_mean,0,afternoon_14_18,01,124,809.3889791666667,899.0110206532868,-768.0671090053762
H0_hour_mean,0,afternoon_14_18,02,112,1074.7350705357144,1168.3346560138618,-1069.4685181547618
H0_hour_mean,0,afternoon_14_18,03,124,1136.722952956989,1253.877460524792,-1110.0843599462364
H0_hour_mean,0,afternoon_14_18,04,120,896.6199273611111,1070.5069708769024,-822.1381415277777
H0_hour_mean,0,afternoon_14_18,05,124,847.0529508064515,971.6397505794745,-777.0676819892471
H0_hour_mean,0,afternoon_14_18,06,120,777.4722376388889,893.5520307971224,-656.9353990277779
H0_hour_mean,0,afternoon_14_18,07,124,883.4413443548387,1050.6627400811292,-793.5330610215054
H0_hour_mean,0,afternoon_14_18,08,124,1227.7619732526882,1407.0034537808156,-1181.2604052419356
H0_hour_mean,0,afternoon_14_18,09,120,1078.3063175,1238.0172980500386,-1045.1641661111112
H0_hour_mean,0,afternoon_14_18,10,124,1255.0003544354838,1375.8438081958384,-1213.0213791666667
H0_hour_mean,0,afternoon_14_18,11,120,952.2119508333332,1025.154256679283,-937.0804583333334
H0_hour_mean,0,afternoon_14_18,12,124,807.7495372311828,888.641971431659,-794.4394197580646
H0_hour_mean,0,afternoon_14_18,ALL,1460,978.6617968036528,1117.572176048746,-930.2639434474887
H0_hour_mean,0,morning_06_10,01,124,500.7386663978495,687.5464403226657,500.72965591397855
H0_hour_mean,0,morning_06_10,02,112,623.7306315476189,767.225258406398,623.6968791666667
