template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-02-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019472599999971862
2025-02-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019570099999782542
2025-02-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018520300000091083
2025-02-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07901829999991605
2025-03-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04324830000041402
2025-03-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026337700000112818
2025-03-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013650200000029145
2025-03-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025525699999889184
2025-03-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025497400000404014
2025-03-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0347804999996697
2025-03-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07834159999993062
2025-03-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021456100000250444
2025-03-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022094800000104442
2025-03-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.034761599999910686
2025-03-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01859310000008918
2025-03-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018784099999720638
2025-03-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018165599999974802
2025-03-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032261100000141596
2025-03-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.09001970000008441
2025-03-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020579300000008516
2025-03-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018148999999993976
2025-03-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020113799999762705
2025-03-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020990099999835365
2025-03-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019842599999719823
2025-03-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05048080000005939
2025-03-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024760300000252755
2025-03-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019304299999930663
2025-03-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018099500000062108
2025-03-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019313100000090344
2025-03-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020138300000326126
2025-03-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020353200000045035
2025-03-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020068799999990006
2025-03-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02024100000016915
2025-03-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02184469999974681
2025-03-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020091800000045623
2025-04-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018837799999801064
2025-04-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019935399999667425
2025-04-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018634600000041246
2025-04-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0303500999998505
2025-04-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2100476269724486e-16,0.04560200000014447
2025-04-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019991099999970174
2025-04-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020977899999707006
2025-04-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02653760000021066
2025-04-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01977519999991273
2025-04-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02050660000031712
2025-04-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020740899999964313
2025-04-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022364400000242313
2025-04-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019212700000025507
2025-04-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024009400000068126
2025-04-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020028200000069774
2025-04-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022669299999961368
2025-04-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018761100000119768
2025-04-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023940900000070542
2025-04-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04887110000026951
2025-04-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019647599999643717
2025-04-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02028650000011112
2025-04-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029391000000032363
2025-04-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0182012999998733
2025-04-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021256199999697856
2025-04-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025727700000061304
2025-04-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019123000000035972
2025-04-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020656500000313827
2025-04-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021816899999976158
2025-04-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019357700000000477
2025-04-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030412099999921338
2025-05-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032251999999971304
2025-05-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04151729999966847
2025-05-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.050370700000257784
2025-05-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01893209999980172
2025-05-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03817150000031688
2025-05-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028913200000260986
2025-05-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021923500000411877
2025-05-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020382599999720696
2025-05-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026156600000376784
2025-05-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.049227500000142754
2025-05-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019599100000050385
2025-05-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019179600000370556
2025-05-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.033069999999952415
2025-05-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018176799999764626
2025-05-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019651300000077754
2025-05-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020840299999690615
2025-05-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023200099999939994
2025-05-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01956350000000384
2025-05-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019760000000133005
2025-05-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0348071000003074
2025-05-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021534800000154064
2025-05-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021297300000242103
2025-05-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03481709999960003
2025-05-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022337599999900704
2025-05-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02078140000003259
2025-05-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028170000000045547
2025-05-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01890319999984058
2025-05-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022622599999976956
2025-05-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02021229999991192
2025-05-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,2.2409969975766e-16,0.03651209999998173
2025-05-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025418100000024424
2025-06-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.8166378161332092e-16,0.01995390000001862
2025-06-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013822299999901588
2025-06-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018724500000189437
2025-06-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019394099999772152
2025-06-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02009009999983391
2025-06-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025928399999884277
2025-06-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.033907300000009855
2025-06-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022847400000046036
2025-06-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01667570000017804
2025-06-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023313300000154413
2025-06-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020211900000049354
2025-06-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2195877616408517e-16,0.014112599999862141
2025-06-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029876200000217068
2025-06-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022350899999764806
2025-06-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026011100000232545
2025-06-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032317000000148255
2025-06-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013539700000364974
2025-06-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012135999999827618
2025-06-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023005000000011933
2025-06-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.06550359999982902
2025-06-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02976230000012947
2025-06-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.424705295005116e-16,0.026348200000029465
2025-06-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022446199999649252
2025-06-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01909559999967314
2025-06-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011768700000175158
2025-06-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02646569999978965
2025-06-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04387399999995978
2025-06-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029268900000261056
2025-06-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019138000000111788
2025-06-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01991539999971792
2025-07-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.3624637965831166e-16,0.013288900000134163
2025-07-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02016490000005433
2025-07-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019159200000103738
2025-07-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02988969999978508
2025-07-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04943269999967015
2025-07-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01956049999989773
2025-07-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01758620000009614
2025-07-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0214151000000129
2025-07-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2194416425783984e-16,0.018066600000111066
2025-07-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02125549999982468
2025-07-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030995399999937945
2025-07-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03575920000002952
2025-07-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022175999999944906
2025-07-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01856869999983246
2025-07-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,3.8475846457427055e-16,0.019876899999871966
2025-07-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.016970199999832403
2025-07-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01950329999999667
2025-07-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02355360000001383
2025-07-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04497949999995399
2025-07-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01826580000033573
2025-07-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,2.4864082079798476e-16,0.019569399999909365
2025-07-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,2.4627699975203225e-16,0.019199100000150793
2025-07-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02253599999994549
2025-07-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2445048534774344e-16,0.02785119999998642
2025-07-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04279640000004292
2025-07-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2237300004643867e-16,0.057975400000032096
2025-07-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.2574380858559705e-16,0.01825650000000678
2025-07-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,2.4912248479206676e-16,0.024917000000186817
2025-07-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018605100000058883
2025-07-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.017519800000172836
2025-07-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01911100000006627
2025-08-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02049219999980778
2025-08-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020559600000069622
2025-08-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01905059999990044
2025-08-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03529940000044007
2025-08-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.503165527874378e-16,0.030497400000058406
2025-08-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01812500000005457
2025-08-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01973550000002433
